IRF CODE,Output,NGO,State,Region,region_id,District,district_id,No of Locations  Targeted,GIS LONGITUDE,Objective,GROUPED ACTIVITY,Original targets Proposal INDIVIDUALS,Original targets Proposal HOUSEHOLDS,Revised targets Proposal INDIVIDUALS,Revised targets Proposal HOUSEHOLDS,Latest report targt individuals (1-15 March),Nr of cash installments,How many days of water trucking?,Distribution date,Amount of cash provided per month (average),Reached Individuals MALE,Reached Individuals FEMALE,Total Beneficiaries,Achievement to date,Progress of Activity,Planned for next month,,
IRF 4 b,5,NRC,SWS,Gedo,R1720057,Luuq,R1720123,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"1,050",150,"1,050",150,"1,050",4 cash installments,0,0,0,476,574,1050,50%,2ND INSTALMENT,YES,,
IRF 4 b,5,NRC,Galmudug,Galgaduud,R1720056,Dhuusamarreeb,R1720100,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"1,890",270,"1,890",270,"1,890",4 cash installments,,,,553,1337,1890,100%,2ND INSTALMENT,YES,,
IRF 4 b,5,NRC,Puntland,Bari,R1720054,Iskushuban,R1720112,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"19,740","2,820","1,680",240,"1,680",3 cash installments,,,,812,868,1680,100%,2ND INSTALMENT,YES,,
IRF 4 b,5,NRC,Puntland,Nugaal,R1720064,Dangorayo,R1720109,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"4,830",690,882,126,882,3 cash installments,,,,322,560,882,100%,2ND INSTALMENT,YES,,
IRF 4 b,5,NRC,Somaliland-Puntland,Sanaag,R1720065,Ceel Afweyn,R1720095,2,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,359",337,"2,359",337,"2,359",3 cash installments,,,,301,2058,2359,100%,2ND INSTALMENT,YES,,
IRF 4 c,5,ACF,SWS,Bakool,R1720052,Xudur,R1720141,12,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"17,500","2,500","17,500","2,500",17500,3 installement of cash (Monthly basis),,,,"8,829","8,671","17,500",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,ACF,SWS,Bakool,R1720052,Ceel Barde,R1720096,9,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"11,900","1,700","11,900","1,700",11900,2 installments of cash (Monthly basis),,,,"6,004","5,896","11,900",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,Cesvi,Hir-shabelle,Hiraan,R1720058,Belet weyne,R1720079,14,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,840","1,120","7,840","1,120",,4 installments of cash (Monthly basis),,APRIL,70 USD,0,0,0,0%,REGISTERED,YES,,
IRF 4 c,5,ACF,SWS,Bakool,R1720052,waajid,R1720137,10,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,000","1,000","7,000","1,000",7000,2 installments of cash (Monthly basis),,,,"3,532","3,478","7,010",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,ACF,SWS,Bakool,R1720052,Rab Dhuure,R1720131,6,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,000","1,000","7,000","1,000",7000,3 installement of cash (Monthly basis),,,,"3,027","2,972","5,999",86%,1ST INSTALMENT,YES,,
IRF 4 c,5,ACF,Puntland,Nugaal,R1720064,Eyl,R1720104,9,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"4,984",712,"4,984",712,4984,1 installement of cash (Monthly basis),,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,ACF,Banadir,Banadir,R1720053,Cabdlcasiis,R1720144,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"4,802",686,"4,802",686,4802,2 installments of cash (Monthly basis),,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,ACF,Banadir,Banadir,R1720053,Kaxda,R1720125,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,000","1,000","7,000","1,000",7000,2 installments of cash (Monthly basis),,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,CWW,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,10,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"5,600",800,"7,000","1,000","7,000",3 installments of cash,,,70 USD,0,"7,000","7,000",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,ACF,Banadir,Banadir,R1720053,Hodan,R1720149,3,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,000","1,000","7,000","1,000",7000,2 installments of cash (Monthly basis),,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,Cesvi,Galmudug,mudug,R1720063,Gaalkacyo,R1720107,12,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"16,100","2,300","16,100","2,300",,4 installments of cash (Monthly basis),,APRIL,70 USD,0,0,0,0%,REGISTERED,YES,,
IRF 4 c,5,Cesvi,Galmudug,mudug,R1720063,Hobyo,R1720111,2,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"4,200",600,"4,200",600,,4 installments of cash (Monthly basis),,APRIL,70 USD,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,SCI,Somaliland-Puntland,Sanaag,R1720065,Ceerigaabo,R1720099,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"3,010",430,"3,010",430,"3,010",4 installments of cash,,,,0,0,"7,000",233%,1ST INSTALMENT,YES,,
IRF 4 c,5,SCI,Somaliland-Puntland,Sanaag,R1720065,Badhan,R1720099,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,765",395,"2,765",395,"2,765",4 installments of cash,,,,0,0,"7,000",253%,1ST INSTALMENT,YES,,
IRF 4 c,5,SCI,Somaliland-Puntland,Sanaag,R1720065,Dhahar,R1720095,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"1,225",175,"1,225",175,"1,225",4 installments of cash,,,,0,0,"7,000",571%,1ST INSTALMENT,YES,,
IRF 4 c,5,SCI,Somaliland-Puntland,sool,R1720066,Laas Caanood,R1720120,10,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"5,390",770,"6,129",770,"6,129",4 installments of cash,,,,"3,053","3,076","6,129",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,SCI,Hir-shabelle,Hiraan,R1720058,Belet weyne,R1720079,12,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"6,090",870,"6,090",870,,4 installments of cash,,,,"3,423","3,273","6,696",110%,1ST INSTALMENT,YES,,
IRF 4 c,5,SCI,Hir-shabelle,Hiraan,R1720058,Matabaan,R1720079,15,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"4,200",600,"4,200",600,,4 installments of cash,,,,"2,317","2,215","4,532",108%,1ST INSTALMENT,YES,,
IRF 4 c,5,SCI,SWS,Hiraan,R1720058,Mahas,R1720079,7,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,000","1,000","7,000","1,000",,4 installments of cash,,,,"3,905","3,733","7,638",109%,1ST INSTALMENT,YES,,
IRF 4 c,5,SCI,SWS,Bay,R1720055,Baidoa,R1720074,24,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"17,500","2,500","17,500","2,500",,4 installments of cash,,,,"13,523","8,224","21,747",124%,1ST INSTALMENT,YES,,
IRF 4 c,5,CWW,Jubaland,Gedo,R1720057,Elwak,R1720103,9,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"3,080",440,"3,080",440,"3,080",3 installments of cash,,,70 USD,0,"3,080","3,080",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,CWW,Jubaland,Gedo,R1720057,Elwak,R1720103,9,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,345",335,"2,345",335,"2,345",3 installments of cash,0,0,70 USD,0,"2,345","2,345",50%,1ST INSTALMENT,YES,,
IRF 4 c,5,CWW,Jubaland,Gedo,R1720057,Belet Xaawo,R1720080,9,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,345",335,"2,345",335,"2,345",3 installments of cash,0,0,70 USD,0,"2,345","2,345",50%,1ST INSTALMENT,YES,,
IRF 4 c,5,CWW,Banadir,Banadir,R1720053,Daynile,R1720145,26,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"23,520","3,360","23,520","3,360","23,520",3 installments of cash,,,70 USD,0,"23,520","23,520",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,CWW,SWS,Bay,R1720055,Baidoa,R1720074,27,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"38,878","5,554","38,878","5,554","38,878",3 installments of cash,,APRIL,70 USD,0,"38,878","38,878",100%,1ST INSTALMENT,YES,,
IRF 4 c,5,CWW,SWS,Shabelle Hoose,R1720060,Wanla weyn,R1720138,5,,UCT for drought relief,Nr of persons provided with UCTs,"1,400",200,"1,400",200,,2,2 installments of cash,APRIL,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,IRC,Galmudug,Mudug,R1720063,Gaalkacyo,R1720107,2,,Emergency food security and livelihood services,Nr of persons provided with UCTs,"4,410",630,"4,410",630,,3,3 installments of cash,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,IRC,Galmudug,mudug,R1720063,Hobyo,R1720111,5,,Emergency food security and livelihood services,Nr of persons provided with UCTs,"11,620","1,660","11,620","1,660",,3,3 installments of cash,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,IRC,Galmudug,mudug,R1720063,Jariiban,R1720115,1,,Emergency food security and livelihood services,Nr of persons provided with UCTs,"3,150",450,"3,150",450,,3,3 installments of cash,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,NRC,SWS,Bay,R1720055,Baidoa,R1720074,39,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"18,900","2,700","18,900","2,700","18,900",3 cash installments,,,,"4,256","14,644","18,900",100%,NOT STARTED,YES,,
IRF 4 c,5,NRC,SWS,Bakool,R1720052,Xudur,R1720141,9,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,000","1,000","7,000","1,000","7,000",3 cash installments,,,,"2,366","4,634","7,000",100%,NOT STARTED,YES,,
IRF 4 c,5,NRC,Puntland,Bari,R1720054,Qardho,R1720129,6,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,889","1,127","9,212","1,316","9,212",3 cash installments,,,,"3,409","5,803","9,212",100%,NOT STARTED,YES,,
IRF 4 c,5,NRC,Somaliland-Puntland,Sool,R1720066,Laas Caanood,R1720120,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"8,561","1,223","8,561","1,223","8,561",3 cash installments,,,,328,895,"1,223",14%,NOT STARTED,YES,,
IRF 4 c,5,NRC,Somaliland-Puntland,Sanaag,R1720065,Caynabo,R1720094,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"9,100","1,300","9,100","1,300","9,100",3 cash installments,,,,456,844,"1,300",14%,NOT STARTED,YES,,
IRF 4 c,5,NRC,Somaliland-Puntland,Sanaag,R1720065,Ceerigaabo,R1720099,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"8,400","1,200","8,400","1,200","8,400",3 cash installments,,,,379,821,"1,200",14%,NOT STARTED,YES,,
IRF 4 c,5,DRC,Puntland,Bari,R1720054,Qardho,R1720129,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"4,200",600,"4,200",600,"4,200",3 installments of cash,,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,5,DRC,Puntland,Bari,R1720054,Bossaso,R1720083,6,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"6,300",900,"6,300",900,"6,300",3 installments of cash,,,,0,0,0,0%,REGISTERED,YES,,
IRF 4 c,5,DRC,Puntland,Bay,R1720055,Baidoa,R1720074,44,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"32,200","4,600","32,200","4,600","32,200",3 installments of cash,,,,"18,900",,"18,900",59%,1ST INSTALMENT,YES,,
IRF 4 c,5,DRC,Puntland,Bay,R1720055,Berdale,R1720074,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,800",400,"2,800",400,"2,800",3 installments of cash,,,,0,0,0,0%,REGISTERED,YES,,
IRF 4 c,5,DRC,Somaliland-Puntland,Sanaag,R1720065,Laasqoray,R1720121,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"4,900",700,"4,900",700,"4,900",3 installments of cash,,,,0,0,0,0%,REGISTERED,YES,,
IRF 4 c,5,DRC,Somaliland-Puntland,Sanaag,R1720065,Badhan,R1720099,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"7,700","1,100","7,700","1,100","7,700",3 installments of cash,,,,0,0,0,0%,REGISTERED,YES,,
